Bus Name,Feeder Bus,Feeder Length (m),Feeder Type,Rating (MVA),DATA_LINK_KEY,Active,P (kW),Q (kVAr),Notes
SUB10_RM6,SUB5_HV_B,140,3C_70mm2_XLPE_SWA,0.75,101000,TRUE,255.8156215,40.68576365,
SUB11A_RM6,SUB21A_RM6,60,3C_70mm2_XLPE_SWA,0.75,,TRUE,,,Normally Open HV link to SUB11B_RM6
SUB11B_RM6,SUB21B_RM6,60,3C_70mm2_XLPE_SWA,0.75,,TRUE,,,
SUB12_RM6,SUB18_RM6,200,3C_70mm2_XLPE_SWA,0.75,,TRUE,,,Normally Open HV link to SUB24_RM6
SUB14_HV_A,slack,705,3Cx1C_300mm2_EPR,6,,TRUE,,,Normally Open link to SUB14_HV_B
SUB14_HV_B,slack,705,3Cx1C_300mm2_EPR,6,,TRUE,,,Normally Open link to SUB14_HV_A
SUB15_RM6,slack,124,3Cx1C_300mm2_EPR,0.8,101500,TRUE,40.667,-9.867025859,
SUB16_RM6,SUB25A_RM6,307,3C_70mm2_XLPE_SWA,0.5,,TRUE,,,
SUB17_RM6,slack,312,3C_70mm2_XLPE_SWA,0.8,101700,TRUE,80.5906132,29.48504437,
SUB18_RM6,SUB10_RM6,65,3C_70mm2_XLPE_SWA,0.8,101800,TRUE,76.92321459,45.74654514,
SUB19A_RM6,slack,400,3C_70mm2_XLPE_SWA,1,101901,TRUE,91.50183247,82.12503515,
SUB19B_RM6,slack,400,3C_70mm2_XLPE_SWA,1,101902,TRUE,,,Normally Open HV link to SUB19A_RM6
SUB20_RM6,SUB8_RM6,253,3C_70mm2_XLPE_SWA,0.8,102000,TRUE,16.4033914,-1.257529601,Future cable to slack bus
SUB21A_RM6,slack,185,3C_70mm2_XLPE_SWA,1,102101,TRUE,19.04693255,6.868883139,Normally Open HV link to SUB21B_RM6
SUB21B_RM6,slack,185,3C_70mm2_XLPE_SWA,1,102102,TRUE,148.6942883,54.44654555,
SUB22A_RM6,SUB26_RM6,275,3C_300mm2_XLPE_SWA,1.5,,TRUE,,,Normally Open HV link to SUB22B_RM6
SUB22B_RM6,SUB23_RM6,370,3C_300mm2_XLPE_SWA,1.5,,TRUE,,,
SUB23_RM6,slack,130,3Cx1C_300mm2_EPR,0.8,102300,TRUE,41.2416504,11.6035445,
SUB24_RM6,SUB7_HV_B,387,3C_35mm2_XLPE,1,,TRUE,,,
SUB25A_RM6,slack,335,3C_0.06inch2_PILC_SWA,1,,TRUE,,,
SUB25B_RM6,slack,435,3C_0.06inch2_PILC_SWA,0.8,,TRUE,,,Normally Open Link to SUB25A_RM6
SUB26_RM6,SUB15_RM6,95,3Cx1C_300mm2_EPR,1,,TRUE,,,Normally Closed HV link to SUB22A_RM6
SUB27A_RM6,slack,710,3C_0.06inch2_PILC_SWA,1,102701,TRUE,0.652,0.564,
SUB27B_RM6,slack,715,3C_70mm2_PILC_SWA,1,102702,TRUE,1.083,1.041,
SUB29A_RM6,SUB27A_RM6,100,3C_70mm2_XLPE_SWA,1,102901,TRUE,0,0,
SUB29B_RM6,SUB27B_RM6,100,3C_70mm2_XLPE_SWA,1,102902,TRUE,0,0,Normally Open HV link to SUB29A_RM6
SUB30_RM6,SUB31_RM6,5,3C_300mm2_XLPE_SWA,1,,TRUE,,,
SUB31_RM6,SUB16_RM6,85,3C_300mm2_XLPE_SWA,1,,TRUE,,,
SUB3_HV_A,slack,540,3C_0.06inch2_PILC_SWA,1,,TRUE,,,Normally Open HV link to SUB3_HV_B
SUB3_HV_B,slack,540,3C_0.06inch2_PILC_SWA,1,,TRUE,,,
SUB4_RM6,SUB3_HV_B,405,3C_0.06inch2_PILC_SWA,0.8,,TRUE,,,
SUB5_HV_A,SUB19A_RM6,40,3C_70mm2_XLPE_SWA,1,,TRUE,,,Normally Open HV link to SUB5_HV_B
SUB5_HV_B,SUB19B_RM6,40,3C_70mm2_XLPE_SWA,0.5,,TRUE,,,
SUB7_HV_A,SUB29A_RM6,55,3C_70mm2_XLPE_SWA,2,,TRUE,,,
SUB7_HV_B,SUB29B_RM6,50,3x1C_70mm2_XLPE,1,,TRUE,,,Normally Open HV link to SUB7_HV_A
SUB8_RM6,SUB17_RM6,315,3C_70mm2_XLPE_SWA,0.75,100800,TRUE,41.09270508,-8.897684016,
SUB9_RM6,SUB3_HV_A,500,3C_0.06inch2_PILC_SWA,0.5,100900,TRUE,2.272256944,0.500429711,Normally Open HV link to SUB4_RM6
SUB11A_RM6,SUB11B_RM6,5,3C_70mm2_XLPE_SWA,,,FALSE,,,Normally Open
SUB21A_RM6,SUB21B_RM6,5,3C_70mm2_XLPE_SWA,,,FALSE,,,Normally Open
SUB22A_RM6,SUB22B_RM6,10,3C_300mm2_XLPE_SWA,,,FALSE,,,Normally Open
SUB12_RM6,SUB24_RM6,155,3C_70mm2_XLPE_SWA,,,FALSE,,,Normally Open
SUB19A_RM6,SUB19B_RM6,5,3C_70mm2_XLPE_SWA,,,FALSE,,,Normally Open
SUB25B_RM6,SUB25A_RM6,135,3C_70mm2_XLPE_SWA,,,FALSE,,,Normally Open
SUB29A_RM6,SUB29B_RM6,5,3C_70mm2_XLPE_SWA,,,FALSE,,,Normally Open
SUB4_RM6,SUB9_RM6,340,3C_70mm2_XLPE_SWA,,,FALSE,,,Normally Open
