id,timestamp,device_name,current_a,current_b,current_c,power_active,power_reactive,power_apparent,power_factor,voltage_an,voltage_bn,voltage_cn,voltage_ab,voltage_bc,voltage_ca,cumulative_active_energy
1,2/12/2023 0:00,100800,14.86,17.56,25.52,10.30,-8.52,13.37,0.77,240.60,241.69,240.51,418.08,417.94,415.92,327652
2,2/12/2023 0:15,100800,14.52,17.49,22.55,9.16,-8.68,12.62,0.73,241.23,242.26,241.01,419.17,418.79,416.91,327654
3,2/12/2023 0:30,100800,14.53,17.89,22.69,9.46,-8.52,12.68,0.75,241.02,242.07,240.88,418.80,418.53,416.63,327657
4,2/12/2023 0:45,100800,14.45,17.49,22.28,9.09,-8.67,12.56,0.72,241.25,242.35,241.13,419.23,419.01,417.02,327659
5,2/12/2023 1:00,100800,15.71,17.89,35.96,13.89,-8.35,16.20,0.86,240.34,241.61,240.20,417.85,417.72,415.24,327662
6,2/12/2023 1:15,100800,14.26,17.49,22.30,9.16,-8.57,12.55,0.73,241.30,242.45,241.21,419.37,419.18,417.12,327664
7,2/12/2023 1:30,100800,13.62,17.52,22.45,9.03,-8.33,12.29,0.73,241.50,242.53,241.33,419.62,419.31,417.43,327667
8,2/12/2023 1:45,100800,13.89,17.37,35.25,12.76,-8.53,15.35,0.83,241.90,242.82,241.74,420.17,419.99,418.10,327669
9,2/12/2023 2:00,100800,14.97,17.87,24.08,10.05,-8.36,13.06,0.77,239.97,240.94,239.74,416.93,416.53,414.73,327672
10,2/12/2023 2:15,100800,16.34,17.56,22.73,10.11,-8.41,13.15,0.77,240.35,241.28,240.30,417.43,417.33,415.66,327675
11,2/12/2023 2:30,100800,14.59,17.75,23.63,9.63,-8.70,12.90,0.75,240.48,241.30,240.28,417.63,417.27,415.76,327677
12,2/12/2023 2:45,100800,15.56,17.54,22.70,9.69,-8.55,12.93,0.75,240.84,241.61,240.82,418.08,418.04,416.61,327680
13,2/12/2023 3:00,100800,14.35,17.47,22.58,9.16,-8.60,12.56,0.73,240.72,241.35,240.60,417.78,417.55,416.37,327682
14,2/12/2023 3:15,100800,14.97,19.20,23.29,11.09,-7.43,13.35,0.83,241.45,242.02,241.31,418.99,418.72,417.66,327685
15,2/12/2023 3:30,100800,15.17,18.59,23.73,11.14,-7.51,13.41,0.85,241.63,242.22,241.42,419.35,418.97,417.87,327687
16,2/12/2023 3:45,100800,14.94,19.18,23.15,10.91,-8.38,13.26,0.82,241.37,241.94,241.14,418.90,418.48,417.41,327689
17,2/12/2023 4:00,100800,14.87,36.90,23.42,15.52,-7.67,17.30,0.90,241.55,241.98,241.36,419.15,418.56,417.83,327692
18,2/12/2023 4:15,100800,15.06,18.77,23.37,10.88,-7.61,13.27,0.82,241.41,241.89,241.25,418.83,418.53,417.61,327695
19,2/12/2023 4:30,100800,16.98,18.42,23.82,11.65,-7.44,13.87,0.84,241.64,242.14,241.45,419.24,418.92,417.99,327698
20,2/12/2023 4:45,100800,14.96,18.75,23.32,10.86,-7.65,13.25,0.82,241.42,241.98,241.33,418.89,418.72,417.66,327700
21,2/12/2023 5:00,100800,14.87,18.87,23.35,10.87,-7.67,13.26,0.82,241.12,241.64,240.95,418.37,418.06,417.08,327703
22,2/12/2023 5:15,100800,15.55,17.55,22.44,9.60,-8.63,12.89,0.74,241.11,241.58,240.90,418.32,417.94,417.05,327705
23,2/12/2023 5:30,100800,14.57,17.73,22.42,9.26,-8.59,12.64,0.73,240.93,241.53,240.85,418.13,417.84,416.71,327708
24,2/12/2023 5:45,100800,19.48,17.22,21.60,10.39,-8.37,13.35,0.79,241.40,241.96,241.33,418.80,418.69,417.71,327710
25,2/12/2023 6:00,100800,13.68,10.34,17.32,5.17,-7.86,9.41,0.55,240.33,240.87,240.24,416.91,416.83,415.83,327712
