To,From,Feeder Length,Feeder Type,DATA_LINK_KEY,Active,Notes
SUB10_RM6,SUB5_HV_B,140,3C_70mm2_XLPE_SWA,0,TRUE,
SUB11A_RM6,SUB21A_RM6,60,3C_70mm2_XLPE_SWA,1,TRUE,Normally Open HV link to SUB11B_RM6
SUB11B_RM6,SUB21B_RM6,60,3C_70mm2_XLPE_SWA,2,TRUE,
SUB12_RM6,SUB18_RM6,200,3C_70mm2_XLPE_SWA,3,TRUE,Normally Open HV link to SUB24_RM6
SUB14_HV_A,slack,705,3Cx1C_300mm2_EPR,4,TRUE,Normally Open link to SUB14_HV_B
SUB14_HV_B,slack,705,3Cx1C_300mm2_EPR,5,TRUE,Normally Open link to SUB14_HV_A
SUB15_RM6,slack,124,3Cx1C_300mm2_EPR,6,TRUE,
SUB16_RM6,SUB25A_RM6,307,3C_70mm2_XLPE_SWA,7,TRUE,
SUB17_RM6,slack,312,3C_70mm2_XLPE_SWA,8,TRUE,
SUB18_RM6,SUB10_RM6,65,3C_70mm2_XLPE_SWA,9,TRUE,
SUB19A_RM6,slack,400,3C_70mm2_XLPE_SWA,10,TRUE,
SUB19B_RM6,slack,400,3C_70mm2_XLPE_SWA,11,TRUE,Normally Open HV link to SUB19A_RM6
SUB20_RM6,SUB8_RM6,253,3C_70mm2_XLPE_SWA,12,TRUE,Future cable to slack bus
SUB21A_RM6,slack,185,3C_70mm2_XLPE_SWA,13,TRUE,Normally Open HV link to SUB21B_RM6
SUB21B_RM6,slack,185,3C_70mm2_XLPE_SWA,14,TRUE,
SUB22A_RM6,SUB26_RM6,275,3C_300mm2_XLPE_SWA,15,TRUE,Normally Open HV link to SUB22B_RM6
SUB22B_RM6,SUB23_RM6,370,3C_300mm2_XLPE_SWA,16,TRUE,
SUB23_RM6,slack,130,3Cx1C_300mm2_EPR,17,TRUE,
SUB24_RM6,SUB7_HV_B,387,3C_35mm2_XLPE,18,TRUE,
SUB25A_RM6,slack,335,3C_0.06inch2_PILC_SWA,19,TRUE,
SUB25B_RM6,slack,435,3C_0.06inch2_PILC_SWA,20,TRUE,Normally Open Link to SUB25A_RM6
SUB26_RM6,SUB15_RM6,95,3Cx1C_300mm2_EPR,21,TRUE,Normally Closed HV link to SUB22A_RM6
SUB27A_RM6,slack,710,3C_0.06inch2_PILC_SWA,22,TRUE,
SUB27B_RM6,slack,715,3C_70mm2_PILC_SWA,23,TRUE,
SUB29A_RM6,SUB27A_RM6,100,3C_70mm2_XLPE_SWA,24,TRUE,
SUB29B_RM6,SUB27B_RM6,100,3C_70mm2_XLPE_SWA,25,TRUE,Normally Open HV link to SUB29A_RM6
SUB30_RM6,SUB31_RM6,5,3C_300mm2_XLPE_SWA,26,TRUE,
SUB31_RM6,SUB16_RM6,85,3C_300mm2_XLPE_SWA,27,TRUE,
SUB3_HV_A,slack,540,3C_0.06inch2_PILC_SWA,28,TRUE,Normally Open HV link to SUB3_HV_B
SUB3_HV_B,slack,540,3C_0.06inch2_PILC_SWA,29,TRUE,
SUB4_RM6,SUB3_HV_B,405,3C_0.06inch2_PILC_SWA,30,TRUE,
SUB5_HV_A,SUB19A_RM6,40,3C_70mm2_XLPE_SWA,31,TRUE,Normally Open HV link to SUB5_HV_B
SUB5_HV_B,SUB19B_RM6,40,3C_70mm2_XLPE_SWA,32,TRUE,
SUB7_HV_A,SUB29A_RM6,55,3C_70mm2_XLPE_SWA,33,TRUE,
SUB7_HV_B,SUB29B_RM6,50,3x1C_70mm2_XLPE,34,TRUE,Normally Open HV link to SUB7_HV_A
SUB8_RM6,SUB17_RM6,315,3C_70mm2_XLPE_SWA,35,TRUE,
SUB9_RM6,SUB3_HV_A,500,3C_0.06inch2_PILC_SWA,36,TRUE,Normally Open HV link to SUB4_RM6
SUB11A_RM6,SUB11B_RM6,5,3C_70mm2_XLPE_SWA,37,FALSE,Normally Open
SUB21A_RM6,SUB21B_RM6,5,3C_70mm2_XLPE_SWA,38,FALSE,Normally Open
SUB22A_RM6,SUB22B_RM6,10,3C_300mm2_XLPE_SWA,39,FALSE,Normally Open
SUB12_RM6,SUB24_RM6,155,3C_70mm2_XLPE_SWA,40,FALSE,Normally Open
SUB19A_RM6,SUB19B_RM6,5,3C_70mm2_XLPE_SWA,41,FALSE,Normally Open
SUB25B_RM6,SUB25A_RM6,135,3C_70mm2_XLPE_SWA,42,FALSE,Normally Open
SUB29A_RM6,SUB29B_RM6,5,3C_70mm2_XLPE_SWA,43,FALSE,Normally Open
SUB4_RM6,SUB9_RM6,340,3C_70mm2_XLPE_SWA,44,FALSE,Normally Open
